Beanie Baby Name,Animal/Character,Hang Tag,Mint,Non Mint,No Tag,Style #,Notes & Exclusivity
Dora (Back to School),Dora the Explorer,15,$7-12,$2-5,$2,40622,
Dora (blue shoes) (Cub's shirt #08),Dora the Explorer,15,$14-20,$7-9,$3,47099,Cub's Game 4/19/2008
Dora (Cat Costume),Dora the Explorer,15,$7-11,$3-5,$1,40594,
Dora (Cuddle & Read),Dora the Explorer,14,$14-17,$7-8,$2,40327,"Listen & Read CD, Book & Beanie Boxed"
Dora (Happy Birthday),Dora the Explorer,17,$5-8,$2-3,$1,40827,
Dora (Holiday),Dora the Explorer,14,$2-4,$2,$1,40445,
"Dora (pink shoes, Cub's shirt #09)",Dora the Explorer,16,$11-19,$5-6,$3,40327,Cub's Game 8/14/2009
"Dora (pink shoes, Cub's shirt #10)",Dora the Explorer,17,$11-18,$5-6,$3,40327,Cub's Game 5/1/2010
Dora China,Dora the Explorer,14,$7-11,$3-5,$2,40451,
Dora Del Tenis,Dora the Explorer,14,$3-4,$2-3,$1,40393,
Dora Del Tenis (USTA),Dora the Explorer,14,$15-18,$7-9,$5,47039,US Open shop
Dora Fairytale,Dora the Explorer,15,$2-6,$1-3,$2,40729,
Dora France,Dora the Explorer,14,$5-9,$3-4,$2,40454,
Dora Ice Skating,Dora the Explorer,15,$3-7,$2-4,$1,40692,
Dora Mermaid,Dora the Explorer,15,$7-12,$3-6,$1,40720,
Dora Russia,Dora the Explorer,14,$4-7,$2-3,$1,40453,
Dora Tanzania,Dora the Explorer,14,$5-8,$2-4,$1,40452,
Dory,Fish/ Finding Dory,Sparkle,$3-6,$1-2,$1,41162,
Dos,Hedgehog/ Ferdinand,19,$2-5,$1-3,$1,42262,"Movie, not exclusive"
Dotson,Jaguar,12,$14-20,$6-9,$2-5,40153,
DOTTY (All caps),Dog: Dalmatian,4,$40-75,$15-30,$1,4100,Hang tag name all capital letters. Canada
Dotty,Dog: Dalmatian,"4,5",$2-5,$1,$1,4100,
Down Under,Bear,15,$15-25,$8-12,$1-3,46093,Asia-Paci c
Dr. Jack the Helping Dog,Dog,18,$15-25,$8-14,$3-5,47154,Mayo Clinic
Dreamer,Bear,BBOM,$3-5,$1-3,$1,4802,BBOM
Drumstick,Turkey,12,$10-15,$3-5,$1-3,44026,Ty Store
Dublin,Bear,"7,11",$2-5,$1-3,$1,4576,
Duchess,Dog: Poodle,BB2.0,$3-5,$1,$1,42004,
DUCK-e,Duck,11,$2-6,$1-3,$1,4425,Ty Store
Duckers,Duck,16,$9-14,$2-5,$1-3,47117,Hallmark
Duckling,Duck,19,$15-20,$9-12,$2-5,40982,
Duke,Dog/The Secret Life of Pets Dog,19,$4-8,$1-3,$1,41166,
Dumbo,Elephant / Dumbo,Sparkle,$7-12,$2-5,$1,41150,Disney
Dumbo Key-clip,Elephant / Dumbo,Sparkle,$8-12,$2-5,$1,35001,Disney
Duncan,Bear Realistic,19,$6-10,$3-5,$1-2,40549,
Dundee,Dog: Scottish Terrier,13,$8-13,$2-5,$1-3,40190,
Durango,Horse,12,$4-7,$1-3,$1,40087,
Dusty,Bear,11,$25-35,$12-19,$8-12,4702,Sports Promo No card or ticket
Dusty (with extras),Bear,11,$50-75,$18-25,$8-12,4702,Sports Promo with card and ticket
D'vine,Monkey,15,$7-12,$1-3,$1,40767,
Dwynwen,Dragon,17,$125- 200,$45-80,$12- 20,46156,Wales UK
E (E beanie),Bear,Alphabet,$1-3,$1,$1,40505,
Early,Robin,5,$1-5,$1,$1,4190,
Ears,Bunny Rabbit,3,$20-65,$10-25,$1,4018,
Ears,Bunny Rabbit,"4,5",$1-5,$1,$1,4018,
Ebony,Bear,15,$20-35,$8-12,$2-5,46121,Hamleys
ECHO (All caps),Dolphin,4,$25-40,$10-20,$1,4180,Hang tag name all capital letters. Canada
Echo,Dolphin,"4,5",$1-5,$1,$1,4180,
"Echo (with ""Waves"" hang and tush tags)",Dolphin,4,$2-7,$1,$1,4084,
ECHO ECHO,BEN 10,17,$30-50,$15-25,$9-15,46163,UK
Eggbeart,Bear,12,$2-5,$1,$1,4437,Ty Store
Eggbert,Chick,5,$1-6,$1,$1,4232,
Eggerton,Bunny Rabbit,12,$2-5,$1,$1,40048,
Eggnog,Bear,14,$3-8,$1-3,$1,44097,Ty Store
Eggs,Bear,"7,8",$2-5,$1,$1,4337,
Eggs,Bear,BB2.0,$3-6,$1,$1,42008,
Eggs 2004,Bear,12,$3-7,$1,$1,40052,
Eggs 2005,Bear,13,$2-5,$1,$1,40184,
Eggs 2006,Bear,14,$3-8,$1,$1,40323,
Eggs 2007,Bear,15,$4-9,$1,$1,40496,
Eggs 2008,Bear,17,$9-15,$2-5,$1-3,42008,
Eggs 2008,Bear,BB2.0,$2-4,$1,$1,42008,
Eggs II,Bear,"7,10",$1-5,$1,$1,4510,
Eggs III,Bear,"7,11",$1-5,$1,$1,4581,
Eglantine (Owls of Ga'Hoole),Legend of the Guardians,17,$17-25,$7-14,$1-3,40844,
Elbrus,Bear,15,$12-20,$5-8,$1-3,46112,Russia
Elbrus (Harrods),Bear,15,$12-20,$3-5,$1-3,46111,Harrods
Eleanor,Alvin & Chipmunks,17,$40-75,$25-36,$9-20,40830,known dealers are getting more $$$
El s,Dog: Sharpei,14,$15-25,$8-12,$1-3,47058,Learning Express
Elliot Sadler #19,Bear,15,$3-8,$1,$1,40638,Nascar
Emily Elephant,Peppa Pig,"18, 19",$18-25,$8-12,$3-6,46173,UK
Employee Bear,Bear,none,N/A,N/A,$900- 2000,None,Ty Employee Red Ribbon
Employee Bear,Bear,none,N/A,N/A,$800- 1500,None,Ty Employee Green Ribbon
Enchanting,Horse,13,$7-12,$1-3,$1,40315,
"Energizer Bunny ""E.B.""",Bunny Rabbit,15,$17-35,$7-12,$1-3,47087,Walgreens
England ( ag),Bear,7,$4-8,$1,$1,4608,England
England (I Love),Bear,12,$4-8,$1,$1,46014,UK
Enigma,Water Creature/Loch Ness Monster,15,$90- 110,$40-60,$10- 25,46096,"Inverness Center, Scotland, UK"
Erin,Bear,5,$2-15,$1,$1,4186,Clickbait galore about this one plus fake ebay sales. Average sales price is about $3
Erin missing shamrock,Bear,5,$100- 300,$35-80,$20- 35,4186,Oddity missing shamrock
Erin Key-clip,Bear,14 sm,$4-7,$1-3,$1,40334,
Eucalyptus,Koala bear,5,$3-9,$1-3,$1,4240,
Ewey (frowning),Lamb,5,$3-5,$1,$1,4219,
Ewey (smiling),Lamb,5,$3-5,$1,$1,4219,
F (F beanie),Bear,Alphabet,$1-3,$1,$1,40506,
Fab (Pinkys purse),Dog Purse,Pinkys,$15-25,$8-14,$3-8,40212,
Fable,Unicorn,BB2.0,$9-15,$3-8,$1-3,42034,
Fabulous McQueen-blue,Racecar/Cars 3,Sparkle,$5-8,$1-3,$1,42252,
Fairydust,Bear,14,$3-7,$1-3,$1,40357,
Fairytale,Unicorn,,$7-12,$1-3,$1,40189,
Fanciful (Pinkys),Dog,Pinkys,$5-9,$1-3,$1,40350,
Fancy,Cat,"7,11",$5-12,$1-3,$1,40003,
Farley,Dog: West Highland Terrier,14,$9-20,$5-10,$1-5,40460,
Fauna,Bear,15,$5-9,$1-3,$1,40648,
Fay,Fox,19,$12-20,$4-10,$1-3,42180,
Fearless,Dog: Bulldog,13,$15-25,$7-12,$2-7,46050,UK
Fearless (2009),Guinea Pig,16,$12-25,$5-8,$1-3,40782,
Feastings,Turkey,BBOM,$16-22,$5-9,$1-3,48442,BBOM - auctions go much lower
February (neck ru e),Bear,Birthday,$3-7,$1-3,$1,4389,
February (party hat),Bear,Birthday,$4-10,$1-3,$1,4553,
Feder-bear,Bear,14,$18-25,$7-14,$3-5,40480,
Feder-bear (Ty Store),Bear,14,$18-30,$7-11,$3-5,40480,ATP/Ty Store
Feder-bear (UK),Bear,14,$15-22,$7-11,$3-5,40480,UK
Ferdinand,Bull/ Ferdinand,19,$5-11,$2-5,$1-3,42264,"Movie, not exclusive"
Ferny,Bear,10,$15-25,$4-8,$1-3,4618,New Zealand
Fetch,Dog: Golden Retriever,5,$3-10,$1-3,$1,4189,
Fetch (2009),Dog: Grey and White,15,$8-15,$2-5,$1-3,40796,known dealers are getting more $$$
Fetcher,Dog: Lab,"6,7",$2-5,$1-3,$1,4289,
Fiddler,Cat,BBOM,$6-12,$1-3,$1,48408,BBOM
Fidget,Dog:,"7,11",$4-7,$1-3,$1,40005,
Fields,Bunny Rabbit,17,$10-15,$3-7,$1-3,40875,
Filly,Horse,"7,11",$4-8,$1-3,$1,4592,
Fin,Orca,17,$30-50,$12-25,$2-7,47139,Sea World
Finn (blue),Shark,14,$35-55,$12-20,$2-5,47033,Ty Sea Center/Ty Store
Finn (gray),Shark,14,$12-20,$8-12,$1-3,40394,
Fins,Seal,"7,11",$2-7,$1-3,$1,40033,
Fire,Dragon,19,$20-40,$10-20,$3-5,42187,Great Wolf Lodge
Fireplug,Dog: Dalmatian,BBOM,$2-5,$1,$1,48405,BBOM
Fireworks,Dog: Patriotic,BBOM,$3-7,$1,$1,48438,BBOM
First Dog,Dog: Patriotic,14,$3-5,$1-3,$1,44088,Ty Store
First Mate Patrick,SpongeBob,16,below,below,below,40771,see SpongeBob
Fitz,Dog: Irish Setter,12,$12-20,$2-5,$1-3,40097,
Fizz,Bear,11,$4-7,$1-3,$1,4983,Trade Show
Fizzer,Dog,15,$4-10,$1-3,$1,40683,
Flaky,Bear,"7,10",$2-5,$1-2,$1,4572,
Flash,Dolphin,1,$450- 900,$125- 300,$1-5,4021,"4 line Korea tush ""Original 9"" is the higher side of the range."
Flash,Dolphin,2,$100- 250,$50- 100,$1-5,4021,
Flash,Dolphin,3,$35- 100,$12-40,$1-5,4021,with a 1st gen tush tag
Flash,Dolphin,3,$20-40,$8-30,$1,4021,with a 2nd gen tush tag
Flash (Fiash Error),Dolphin,3,$150- 325,$60- 150,$1,4021,Fiash spelling error
Flash,Dolphin,4,$6-11,$1-4,$1,4021,
Flash (BBOC),Dolphin,BBOC,$7-12,$1-3,$1,49019,BBOC
Flash (2009 big eyes),Guinea Pig,16,$15-20,$7-11,$1-3,40782,known dealers are getting more $$$
Flashy,Peacock,"7,8",$4-10,$1-3,$1,4339,
Fleece,Lamb,"4,5",$4-11,$1-3,$1,4125,
Fleecia,Lamb,17,$4-10,$1-3,$1,40892,
Fleecie,Lamb,"6,7",$3-9,$1-3,$1,4279,
Fletch,Dog: Golden Retriever,BB2.0,$19-25,$7-14,$2-5,42015,
Fleur,Cat,12,$5-12,$2-4,$1,40143,
Flicker,Mouse,BBOM,$5-8,$1-3,$1,48419,BBOM
Flip,Cat,3,$30-80,$8-35,$1-3,4012,With a 2nd gen tush tag
Flip,Cat,4,$5-15,$2-5,$1-3,4012,
Flitter,Butter y,5,$3-8,$1-3,$1,4255,
Float,Butter y,"7,8",$3-8,$1-3,$1,4343,
Floppity,Bunny Rabbit,"4,5",$5-15,$1-3,$1,4118,Victim of clickbait & fake ebay sales
Flopsy,Bunny Rabbit/ Peter Rabbit,19,$5-10,$2-4,$1,42276,"Movie, not exclusive"
Flora,Bear,15,$4-8,$1-3,$1,40647,
Florida,Bear,12,$5-10,$1-3,$1,40147,State
Flower,Meerkat,17,$25-35,$8-12,$1-5,46155,UK
Floxy,Lamb,15,$3-9,$1-3,$1,40498,
Flu,Cat,14,$5-10,$1-3,$1,40236,
Flu ball,Hamster,BB2.0,$9-14,$3-8,$1-3,42002,
Flu y,Unicorn/Minion/Despicable Me,19,$4-8,$1-3,$1,41240,
Flurry,Bear,13,$5-12,$2-5,$1-3,47015,Learning Express
Flutter,Butter y,3,$100- 300,$40- 150,$25- 70,4043,Depends on colors. 1st gen tush tag. Authenticated goes higher than not.
Flutter,Buttery y,3,$100- 225,$35- 125,$20- 60,4043,Depends on colors. 2nd gen tush.
Fluttershy,My Little Pony,19,$10-15,$5-7,$2-4,41019,
Fluttershy (Sparkle),My Little Pony,Sparkle,$7-11,$2-7,$1-3,41019,sparkly strands of hair
Fluttershy (Carletto tags),My Little Pony,17,$8-12,$3-8,$1-3,,Distributed by CAR- LETTO tags
Fluttershy Key-clip,My Little Pony,19 sm,$5-7,$1-3,$1,41102,
Fluttershy Key-clip (Sparkle),My Little Pony,Sparkle,$5-7,$1-3,$1,41102,sparkly strands of hair
Foofa,Yo Gabba Gabba,18,$8-15,$2-5,$1,40913,
Foofa Key-clip,Yo Gabba Gabba,19 sm,$2-5,$1-3,$1,40979,
Football Star,SpongeBob,14,below,below,below,40463,see SpongeBob
Forever Friends (Greetings),Bear,14,$4-8,$1-3,$1,40530,
Fortress,Unicorn,15,$8-19,$2-5,$1,40650,
Fortune,Panda Bear,5,$1-10,$1,$1,4196,Victim of clickbait & fake ebay sales
Founders,Bear,BBOM,$2-5,$1-3,$1,48414,BBOM
Fraidy,Cat,"7,9",$6-10,$1-3,$1,4379,
Frank (big eyes),Dog: Dachshund,19,$8-15,$3-5,$2,42047,new birthday
Frank,Dog: Dachshund,BB2.0,$7-12,$1-3,$1,42047,BB2.0
Frank (redesign),Dog: Dachshund,18,$8-15,$3-7,$1-3,42047,redesign of BB2.0
Frankenteddy (blue and orange feet),Bear,"7,10",$4-10,$1-3,$1,4562,
Frankenteddy (blue and purple feet),Bear,"7,10",$4-10,$1-3,$1,4562,
Frankenteddy (blue and red feet),Bear,"7,10",$4-10,$1-3,$1,4562,
Frankenteddy (green and blue feet),Bear,"7,10",$4-10,$1-3,$1,4562,
Frankenteddy (purple and green feet),Bear,"7,10",$4-10,$1-3,$1,4562,
Frankenteddy (purple and red feet),Bear,"7,10",$4-10,$1-3,$1,4562,
Franklin (big eyes),Dog,19,$14-20,$3-5,$1,42269,Dealers seem to get more$$ for this one
Freckles,Leopard,"4,5",$3-10,$1-3,$1,4066,Victim of clickbait & fake ebay sales
Freckles (big eyes),Leopard,19,$4-9,$2-5,$1,42120,
Freddy Fox,Peppa Pig,19,$25-35,$10-15,$4-6,46263,UK
Fredrick (big eyes),Fox,19,$12-20,$2-5,$1-3,50052,
Free (black chest),Eagle,13,$4-7,$1-3,$1,40237,
Free (blue chest),Eagle,13,$3-7,$1-3,$1,44052,Ty Store
Freezie,Snowman,14,$9-15,$2-5,$1,40439,
Freezie,Penguin,19,$9-15,$2-5,$2,40973,
Freiherr von Schwarz,Bear,7,$10-20,$3-7,$1,4611,Germany
Fridge,Bear,"7,11",$4-9,$1-3,$1,4579,
Friedrich,Bear,13,$12-18,$3-6,$1-3,46033,Germany
Friends,Monkey,15,$18-25,$4-7,$2,44109,Ty Store
Frightful,Cat,14,$20-35,$12-15,$1-3,47031,Borders Don’t use auctions or it will go cheap. Dealers snatch these up.
Frigid,Penguin,"6,7",$2-5,$1,$1,4270,
Frills,Hornbill,"7,8",$3-6,$1,$1,4367,
Frilly,Horse,Pinkys,$5-11,$1-3,$1,40204,
Frilly Key-clip,Horse,Pinkys Sm,$2-5,$1,$1,40399,
Frisbee,Dog,10,$4-10,$1,$1,4508,
Frisbee (Wham-o),Dog,"7,10",$19-30,$5-10,$1,4508,
Frisco,Cat,"7,11",$9-15,$1-3,$1,4586,
Frisky,Cat,BBOM,$7-14,$1-3,$1,48416,BBOM
Fritters,Bunny Rabbit,BBOM,$7-12,$1-3,$1,48410,BBOM
Frolic,Dog: Cocker Spaniel,"7,10",$3-8,$1,$1,4519,
Frolics,Dog: Cocker Spaniel,BB2.0,$8-12,$1-3,$1,42026,
Frostiness,Polar Bear,15,$8-15,$1-3,$1,40748,
Frosty,Bull,"7,11",$4-8,$1-3,$1,40009,
Fuddle,Bear,15,$8-12,$1-3,$1,40625,
Fuli (big eyes),Cheetah/The Lion Guard,Sparkle,$5-10,$2-5,$1-3,41193,TV Disney Channel
Fumbles,Monkey,13,$5-9,$1-3,$1,40171,
Fun (Ty 20th Anniversary),Bear,14,$5-8,$1-3,$1,40383,
Fun Key-clip (Ty 20th Anniversary),Bear,14sm,$20-30,$10-20,$3-7,none,NY Show Promo
Funky,Bear,14,$5-20,$1-3,$1,40413,Well known dealers obtain the higher side
Furston,Sheepdog,14,$5-12,$1-3,$1,40434,
Fussy,Cat,12,$8-14,$1-3,$1,40086,
Fuzz,Bear,5,$1-10,$1-3,$1,4237,Victim of clickbait & fake ebay sales
G (G beanie),Bear,Alphabet,$3,$1,$1,40507,
Gallops (big eyes),Horse,19,$7-11,$1-3,$1,41145,
Garcia,Bear,3,$60- 150,$25-50,$1-5,4051,Prices can go much higher if the colors are amazing
Garcia,Bear,4,$12-25,$3-10,$1-3,4051,Prices can go much higher if the colors are amazing
Gardenia,Bunny Rabbit,16,$3-8,$1-3,$1,40766,
Gar eld,Gar eld,12,$3-5,$1-3,$1,40114,
Gar eld (I don't do perky),Gar eld,15,$12-27,$5-11,$1-3,40668,
Gar eld (Perfectly Lovable),Gar eld,15,$4-8,$1-3,$1,40629,
Gar eld (red heart),Gar eld,15,$3-5,$1-3,$1,40727,
Gar eld (stuck on you),Gar eld,15,$9-18,$2-5,$1-3,40487,
Gar eld (with DVD),Gar eld,14 sm,$18-30,$12-15,$5-9,none,
Gar eld 4-H,Gar eld,14,$12-18,$3-5,$1-3,47037,4-H club online
Gar eld Baby,Gar eld,17,$3-5,$1,$1,40829,
Gar eld Key-clip,Gar eld,15 sm,$3-5,$1,$1,40603,
Garlands,Mouse,15,$3-5,$1,$1,40706,
Gary the snail,SpongeBob,14,below,below,below,40469,see SpongeBob
Gary the snail (Best Buy tag),SpongeBob,14,below,below,below,47057,Best Buy/see SpongeBob
Gary the snail Key-clip,SpongeBob,15,below,below,below,40695,see SpongeBob
Gavin (big eyes),Gira e,19,$7-10,$4-5,$2,40179,
Gemma (Pinkys),Duck,Pinkys,$17-22,$4-9,$1-3,40338,
Gene,The Emoji Movie,19,$2-7,$1-3,$1,42296,
George,Bear,14,$2-5,$1,$1,46059,Europe
George (dinosaur),Peppa Pig,19,$18-25,$9-12,$3-7,46227,UK
George (dinosaur) Keyfllip,Peppa Pig,19 sm,$12-15,$5-7,$2-4,46228,UK
George (hat & scarf),Peppa Pig,19,$12-15,$3-5,$1,46207,UK
George (holding dinosaur),Peppa Pig,"15UK, 19",$7-10,$2-4,$1,46130,"UK, then also USA"
George Key-clip,Peppa Pig,15,$3-6,$1-2,$1,46132,UK
George Muddy Puddles,Peppa Pig,19,$12-15,$3-5,$1,46209,UK
George Super Hero,Peppa Pig,19,$12-15,$3-5,$1,46188,UK
Georgia,Bear,12,$4-7,$1-3,$1,40128,State
Georgia Cherokee Rose,Bear,13,$3-8,$1-3,$1,40291,Trade Show
Gerald Gira e,Peppa Pig,19,$26-34,$12-15,$5-6,46265,UK
Germania (Englsh back of hang tag),Bear,5,$3-8,$1,$1,4236,"Germany Error tag ""GE- BURTSAG"""
Germania (German back of hang tag),Bear,5,$3-8,$2-3,$1,4236,Germany
Germany,Bear,13,$3-5,$2,$1,46034,Germany
Ghostio,Ghost,15,$8-14,$1-3,$1,40579,Sells better at Halloween
Ghoul,Ghost,13,$4-8,$1,$1,40260,Sells better at Halloween
Ghoulianne,Ghost,13,$4-8,$1,$1,40260,Sells better at Halloween
Ghoulish,Ghost,14,$4-12,$1,$1,40421,Sells better at Halloween
Giblets,Turkey,13,$18-25,$9-15,$2-5,44060,Ty Store
Gidget (dog),The Secret Life of Pets Dog,19,$7-15,$2-5,$1-3,41167,
Gift (Joy),Bear,12,$4-7,$1,$1,47003,Hallmark
Gift (Love),Bear,12,$4-7,$1,$1,47005,Hallmark
Gift (Peace),Bear,12,$4-7,$1,$1,47004,Hallmark
Giganto,Wooly Mammoth,"7,9",$4-9,$1-3,$1,4384,
GiGi,Dog: Poodle,5,$2-10,$1-3,$1,4191,
Gills,Shark,19,$25-35,$8-12,$1-3,47142,Sea World
Gimmy,Boblins,15,$18-35,$9-15,$3-5,40608,Sweden
Gingerspice,Bear,15,$4-9,$1-3,$1,47100,Hallmark
Gingy (with Shrek the Third DVD),Shrek,15,$35-45,$18-25,$5,47104,DVD stores
Gingy (with Shrek the Halls DVD),Shrek,15,$35-45,$18-25,$5,47104,DVD stores
Gingy (with Shrek the Final Chapter DVD),Shrek,15,$20-35,$18-25,$5,47104,Walmart
Gingy - no DVD,Shrek,15,$9-19,$2-5,$1-3,47104,
Gira ti,Gira e,12,$2-10,$1,$1,40060,
Giving,Bear,15,$2-19,$1-3,$1,40572,Dealers seem to get more$$ for this one
Giving Key-clip,Bear,15 sm,$15-25,$5-10,$1-3,40573,
Gizmo,Lemur,"7,10",$1-5,$1,$1,4541,
Glacier,Penguin,15,$4-11,$1-3,$1,40714,
Glacier,Polar Bear,17,$12-25,$5-15,$1-5,47141,SeaWorld
Glam Bag (purse),Purse,14,$16-20,$2-5,$1-3,40391,
Glider,Prehistoric bird,"7,10",$1-5,$1,$1,4574,
Glitters,Dog,Pinkys,$1-5,$1,$1,40207,
Glitters Key-clip,Dog,Pinkys Sm,$1-5,$1,$1,40333,
Gloria,Madagascar,15,$7-12,$1-3,$1,40757,
Glory,Bear,5,$2-10,$1,$1,4188,Victim of clickbait & fake ebay sales
Glow,Fire y,"6,7",$1-5,$1,$1,4283,
Goatee,Goat,5,$1-7,$1,$1,4235,
Gobbled,Turkey,15,$1-10,$1,$1,40749,
Gobbles,Turkey,"4,5",$1-10,$1,$1,4034,false rumors continue to plague this beanie
Goddess,Swan,12,$2-6,$1,$1,40054,
Gold Angel Hello Kitty,Hello Kitty,"15, 18UK",below,below,below,46149,"USA, UK see Hello Kitty"
Golden Peppa (10th Anniv),Peppa Pig,19,$10-15,$4-7,$2-3,41106,UK
Goldie,Gold sh,1,$400- 750,$150- 350,$1-5,4023,Authenticated is the higher side
Goldie,Gold sh,2,$80- 225,$50- 125,$1-5,4023,Authenticated is the higher side
Goldie,Gold sh,3,$35-80,$12-35,$1-5,4023,with a 1st gen tush tag
Goldie,Gold sh,3,$25-40,$12-30,$1,4023,with a 2nd gen tush tag
Goldie,Gold sh,"4,5",$4-15,$1-3,$1,4023,Trending up due to internet rumors
Goochy (blue/green),Jelly sh,5,$4-9,$1-3,$1,4230,
Goochy (pink),Jelly sh,5,$4-9,$1-3,$1,4230,
Goodheart,Bear,15,$7-11,$1-3,$1,40686,
Goodnight Gar eld,Gar eld,13,$15-30,$7-12,$1-3,40316,
Goody (forward),Bear,13,$4-7,$1-3,$1,40275,
Goody (left),Bear,13,$4-7,$1-3,$1,40275,
Goody (right),Bear,13,$4-7,$1-3,$1,40275,
Goody (chef hat),Gingerbread man,19,$15-20,$4-9,$1-3,40974,
Gouliette,Ghost,15,$7-17,$3-7,$1-3,40579,Sells better at Halloween
Grace,Bunny Rabbit,"6,7",$2-6,$1-3,$1,4274,
Gracie,Swan,"4,5",$1-3,$1,$1,4126,
Gracie (2014 reissue) (new Ty tag & extra tag),Swan,19,$4-11,$1-3,$1,41033,Sports Promo
Gracie (2019) (big eyes),Swan,19,$3-7,$1-3,$1,41035,
Graf von Rot,Bear,7,$5-10,$1-3,$1,4612,Germany
Gramps,Bear,13,$3-7,$1,$1,44058,Ty Store
Grams,Bear,13,$5-11,$1-3,$1,44057,Ty Store
Grandad Dog,Peppa Pig,18,$25-30,$12-15,$3-7,46176,UK
Grandfather,Bear,12,$3-7,$1,$1,44018,Ty Store
Grandmother,Bear,12,$3-7,$1,$1,44019,Ty Store
Grandpa Pig,Peppa Pig,19,$14-17,$6-8,$3,46264,UK
Grape Ice,Bear,15,$15-25,$7-12,$2-5,40678,Trade Show
Gratefully,Bear,15,$15-25,$2-5,$1-3,40581,
Gravy,Dog,15,$29-30,$5-12,$1-3,47093,Bob Evans
Green,Bear,15,$8-12,$1-3,$1,47119,M&M's/ Walgreens
Green Bay Packers,Bear/Football,19,$18-24,$9-12,$5-7,41721,NFL licensed
Greetings,Goose,BBOM,$4-8,$1-3,$1,48407,BBOM
Greg Bi e #16,Bear,15,$3-7,$1-3,$1,40567,Nascar
Gretel,Gingerbread girl,15,$15-22,$7-12,$2-5,40703,
Grizzwald,Bear,12,$2-5,$1,$1,40101,
Groom,Bear,"7,10",$2-5,$1,$1,4529,
Groot,Tree/Marvel,19,$3-8,$1-3,$1,41215,"Guardians of the Galaxy Movies, not exclusive"
Groovey,Bear,14,$7-12,$1-3,$1,40412,
Groovy,Bear,5,$2-5,$1,$1,4256,
Groowwl,Lion,14,$4-10,$1-3,$1,40440,
Grumbles,Crab,BBOM,$3-8,$1-3,$1,48425,BBOM
Grunt,Razorback Pig,3,$40- 100,$15-45,$1-5,4092,with a 1st gen tush tag
Grunt,Razorback Pig,3,$35-75,$10-30,$1-3,4092,with a 2nd gen tush tag
Grunt,Razorback Pig,4,$5-12,$2-5,$1,4092,
Guam,Bear,15,$30-40,$17-25,$5-9,47073,Guam
Gully,Boblins,15,$4-9,$1-3,$1,40608,"Canada, Australia, New Zealand, Ty Store"
Gunter,Pig/Sing,19,$3-7,$1-3,$1,41234,
Gus-Black & Amber eyes,Gecko,17,$16-25,$4-9,$1-5,40784,
GusBlack & Green eyes,Gecko,16,$16-25,$4-9,$1-5,40784,
Gus Key-clip,Gecko,17,$10-15,$3-5,$1,40846,
Gussy,Charlotte's Web,14,$9-20,$2-5,$1-3,40450,
Gussy (with DVD),Charlotte's Web,15,$25-35,$15,$10,47062,Walmart
Gyl e (Owls of Ga'Hoole),Legend of the Guardians,17,$20-40,$12-18,$3-5,40843,
Gypsy,Cat,12,$10-20,$4-9,$1-3,40094,
H (H beanie),Bear,Alphabet,$1-3,$1,$1,40508,
Hairy,Spider,"7,8",$7-12,$2-5,$1-3,4336,
Halo,Bear,5,$1-10,$1,$1,4208,many false rumors about this beanie
Halo II,Bear,"6,7",$1-10,$1,$1,4269,many false rumors about this beanie
Hamish,Highland Cow,14,$30-50,$12-20,$3-7,46082,Sells higher in the USA than UK
Hamlet,Pig,"7,11",$5-12,$1-3,$1,40016,
Hamley,Bear,14,$8-15,$2-5,$1,46080,Hamley's
Hannah (Japan),Bear,12,$10-25,$3-7,$1-3,46002,Asia-Paci c
Hannah Motomachi,Bear,12,$45-65,$25-35,$5,46002,Ty Store Japan
Hansel,Gingerbread man,15,$15-30,$9-14,$1-5,40704,Do not put on auction
Happily,Bunny Rabbit,14,$6-12,$1-3,$1,47020,Hallmark
Happy (gray body),Hippopotamus,1,$450- 800,$200- 300,$20- 50,4061,
Happy (gray body),Hippopotamus,2,$125- 250,$60- 125,$20- 50,4061,
Happy (gray body),Hippopotamus,3,$50- 125,$35-75,$20- 50,4061,
Happy (lavender body),Hippopotamus,3,$30- 100,$12-40,$1-5,4061,with a 1st gen tush tag
Happy (lavender body),Hippopotamus,3,$25-55,$8-16,$1,4061,with a 2nd gen tush tag
Happy (lavender body),Hippopotamus,"4,5",$3-7,$1,$1,4061,
Happy Birthday (blue),Bear,15,$2-10,$1,$1,40617,
"Happy Birthday (brown, NF small)",Bear,Birthday,$2-10,$1,$1,40234,holding gift
Happy Birthday (candle hat),Bear,15,$2-10,$1,$1,40483,
Happy Birthday (green polka hat),Bear,15,$2-10,$1,$1,40737,
Happy Birthday (Greetings),Bear,14,$2-10,$1,$1,40532,
"Happy Birthday (orange, NF New Face)",Bear,13,$2-10,$1,$1,40259,
"Happy Birthday (orange, potbelly)",Bear,12,$2-10,$1,$1,40058,
Happy Birthday (red),Bear,15,$2-10,$1,$1,40616,
"Happy Birthday (red, potbelly)",Bear,13,$2-10,$1,$1,40198,
Happy Birthday Sock Monkey,Sock Monkey,19,see below,see below,see below,40952,listed with Sock Monkeys
"Happy Birthday (tan, sit down)",Bear,14,$2-10,$1,$1,40328,Bow tie
"Happy Birthday (yellow, NF New Face)",Bear,13,$2-10,$1,$1,40224,
Happy Hanukkah (dreidel),Bear,13,$7-15,$1-3,$1,44053,Ty Store
